2024-10-23 19:54:42 |WARN  |main |Reflections.java:179 |org.reflections.Reflections |given scan urls are empty. set urls in the configuration
2024-10-23 19:54:42 |WARN  |main |Reflections.java:179 |org.reflections.Reflections |given scan urls are empty. set urls in the configuration
2024-10-23 19:54:45 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[search-service] & group[DEFAULT_GROUP]
2024-10-23 19:54:45 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[search-service.yaml] & group[DEFAULT_GROUP]
2024-10-23 19:54:45 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[search-service-dev.yaml] & group[DEFAULT_GROUP]
2024-10-23 19:54:46 |WARN  |pool-4-thread-1 |ZipkinAutoConfiguration.java:164 |org.springframework.cloud.sleuth.autoconfig.zipkin2.ZipkinAutoConfiguration |Check result of the [RestTemplateSender{http://localhost:9411/api/v2/spans}] contains an error [CheckResult{ok=false, error=org.springframework.web.client.ResourceAccessException: I/O error on POST request for "http://localhost:9411/api/v2/spans": Connection refused: connect; nested exception is java.net.ConnectException: Connection refused: connect}]
2024-10-23 19:54:49 |WARN  |main |ElasticsearchClientConfig.java:62 |com.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2024-10-23 19:55:01 |WARN  |main |ElasticsearchClientConfig.java:62 |com.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2024-10-23 19:55:13 |WARN  |main |ElasticsearchClientConfig.java:62 |com.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2024-10-23 19:55:26 |WARN  |main |ElasticsearchClientConfig.java:62 |com.bilibili.search.config.ElasticsearchClientConfig |Connecting Elasticsearch Failed, Retry in 10 seconds...
2024-10-23 19:55:42 |WARN  |main |LoadBalancerCacheAutoConfiguration.java:82 |org.springframework.cloud.loadbalancer.config.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger |Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2024-10-23 19:56:40 |WARN  |Thread-1 |HttpClientBeanHolder.java:108 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Start destroying common HttpClient
2024-10-23 19:56:40 |WARN  |Thread-5 |NotifyCenter.java:136 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Start destroying Publisher
2024-10-23 19:56:40 |WARN  |Thread-5 |NotifyCenter.java:153 |com.alibaba.nacos.common.notify.NotifyCenter |[NotifyCenter] Destruction of the end
2024-10-23 19:56:40 |WARN  |Thread-1 |HttpClientBeanHolder.java:114 |com.alibaba.nacos.common.http.HttpClientBeanHolder |[HttpClientBeanHolder] Destruction of the end
2024-10-23 19:56:54 |WARN  |main |Reflections.java:179 |org.reflections.Reflections |given scan urls are empty. set urls in the configuration
2024-10-23 19:56:54 |WARN  |main |Reflections.java:179 |org.reflections.Reflections |given scan urls are empty. set urls in the configuration
2024-10-23 19:56:57 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[chat-service] & group[DEFAULT_GROUP]
2024-10-23 19:56:57 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[chat-service.yaml] & group[DEFAULT_GROUP]
2024-10-23 19:56:57 |WARN  |main |NacosPropertySourceBuilder.java:87 |com.alibaba.cloud.nacos.client.NacosPropertySourceBuilder |Ignore the empty nacos configuration and get it based on dataId[chat-service-dev.yaml] & group[DEFAULT_GROUP]
2024-10-23 19:56:59 |WARN  |main |Reflections.java:179 |org.reflections.Reflections |given scan urls are empty. set urls in the configuration
2024-10-23 19:56:59 |WARN  |main |Reflections.java:179 |org.reflections.Reflections |given scan urls are empty. set urls in the configuration
